Dateline Standard Time;(GMT-12:00);International Date Line West
Samoa Standard Time;(GMT-11:00);Midway Island, Samoa
Hawaiian Standard Time;(GMT-10:00);Hawaii
Alaskan Standard Time;(GMT-09:00);Alaska
Pacific Standard Time;(GMT-08:00);Pacific Time (US and Canada); Tijuana
Mountain Standard Time;(GMT-07:00);Mountain Time (US and Canada)
Mexico Standard Time 2;(GMT-07:00);Chihuahua, La Paz, Mazatlan
U.S. Mountain Standard Time;(GMT-07:00);Arizona
Central Standard Time;(GMT-06:00);Central Time (US and Canada)
Canada Central Standard Time;(GMT-06:00);Saskatchewan
Mexico Standard Time;(GMT-06:00);Guadalajara, Mexico City, Monterrey
Central America Standard Time;(GMT-06:00);Central America
Eastern Standard Time;(GMT-05:00);Eastern Time (US and Canada)
U.S. Eastern Standard Time;(GMT-05:00);Indiana (East)
S.A. Pacific Standard Time;(GMT-05:00);Bogota, Lima, Quito
Atlantic Standard Time;(GMT-04:00);Atlantic Time (Canada)
S.A. Western Standard Time;(GMT-04:00);Georgetown, La Paz, San Juan
Pacific S.A. Standard Time;(GMT-04:00);Santiago
Newfoundland and Labrador Standard Time;(GMT-03:30);Newfoundland
E. South America Standard Time;(GMT-03:00);Brasilia
S.A. Eastern Standard Time;(GMT-03:00);Georgetown
Greenland Standard Time;(GMT-03:00);Greenland
Mid-Atlantic Standard Time;(GMT-02:00);Mid-Atlantic
Azores Standard Time;(GMT-01:00);Azores
Cape Verde Standard Time;(GMT-01:00);Cape Verde Islands
GMT Standard Time;(GMT) Greenwich Mean Time: Dublin, Edinburgh, Lisbon, London
Greenwich Standard Time;(GMT) Monrovia, Reykjavik
Central Europe Standard Time;(GMT+01:00);Belgrade, Bratislava, Budapest, Ljubljana, Prague
Central European Standard Time;(GMT+01:00);Sarajevo, Skopje, Warsaw, Zagreb
Romance Standard Time;(GMT+01:00);Brussels, Copenhagen, Madrid, Paris
W. Europe Standard Time;(GMT+01:00);Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna
W. Central Africa Standard Time;(GMT+01:00);West Central Africa
E. Europe Standard Time;(GMT+02:00);Minsk
Egypt Standard Time;(GMT+02:00);Cairo
FLE Standard Time;(GMT+02:00);Helsinki, Kiev, Riga, Sofia, Tallinn, Vilnius
GTB Standard Time;(GMT+02:00);Athens, Bucharest, Istanbul
Israel Standard Time;(GMT+02:00);Jerusalem
South Africa Standard Time;(GMT+02:00);Harare, Pretoria
Russian Standard Time;(GMT+03:00);Moscow, St. Petersburg, Volgograd
Arab Standard Time;(GMT+03:00);Kuwait, Riyadh
E. Africa Standard Time;(GMT+03:00);Nairobi
Arabic Standard Time;(GMT+03:00);Baghdad
Iran Standard Time;(GMT+03:30);Tehran
